"[0, [-51.81653582628206, 56.55515728505, -88.38675724669974]]"
"[1, [-51.8264786641584, 56.688788907347615, -88.34351248603093]]"
"[2, [-51.81823247686583, 56.60386582091155, -88.41987083293475]]"
"[3, [-51.822329080000316, 56.64705749084501, -88.48038973812402]]"
"[4, [-51.83000477365255, 56.585563083001446, -88.42030143553438]]"
"[5, [-51.69473650605107, 56.6200299599609, -88.16607018198806]]"
"[6, [-51.9111021769005, 56.781298393399766, -88.6267035372448]]"
"[7, [-51.870831600587564, 56.70857453584655, -88.69425421595645]]"
"[8, [-51.96906221673868, 56.8711092247495, -88.9341526146709]]"
"[9, [-51.863028309052766, 56.80004636285235, -88.74063456632814]]"
