"[0, [-79.86078424771276, 76.63984298514949, -108.2977827359523]]"
"[1, [-59.36509293519694, 45.951372002580385, -133.25885520979966]]"
"[2, [-57.01694182437464, 49.86092933716036, -91.84148401386392]]"
"[3, [-55.56925190650168, 16.113936432250483, -110.58700254021039]]"
"[4, [-62.587209356669035, -12.039011164783403, -132.17295220715766]]"
"[5, [-37.565653598156445, -9.78221571351439, -87.93506868132727]]"
"[6, [-48.97136431111264, -6.232008067095464, -58.084140277909796]]"
"[7, [-63.125976665738506, -41.62370176198303, -100.55149049528609]]"
"[8, [-62.63387349558147, -68.9304799660178, -81.22440791485462]]"
"[9, [-71.06859161916228, -100.32048017986068, -93.63102732611901]]"
